user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,total_watch_time,avg_watch_time,total_sessions,unique_movies,avg_completion,sessions_per_day,total_searches,unique_searches,avg_search_time,total_reviews,avg_sentiment,helpful_votes,last_activity,days_since_last_activity,churn
user_00001,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,basic,2024-04-08,True,36.06,Laptop,1.0,2023-04-01 14:40:50.540242,529.9,66.2375,12,12,65.85454545454546,0.01892744479495268,1.0,1.0,27.5,1.0,0.792,0.0,2025-10-30,62,1
user_00002,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,premium+,2024-05-24,True,14.59,Desktop,2.0,2024-10-10 15:39:11.030515,713.4,50.957142857142856,15,15,57.66923076923077,0.023474178403755867,3.0,3.0,18.099999999999998,4.0,0.5375,10.0,2025-11-28,33,1
user_00003,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,standard,2023-09-22,False,11.71,Desktop,3.0,2024-06-29 14:27:49.560875,594.2,74.275,8,8,42.528571428571425,0.018779342723004695,0.0,0.0,0.0,1.0,0.887,0.0,2025-06-24,190,1
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806,358.2,71.64,9,9,55.025,0.014900662251655629,1.0,1.0,37.7,3.0,0.5026666666666667,8.0,2025-09-19,103,1
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,standard,2024-05-16,True,0.0,Gaming Console,2.0,2024-03-04 19:57:36.106319,428.0,42.8,11,11,62.01818181818182,0.017054263565891473,1.0,1.0,17.4,1.0,0.506,2.0,2025-11-30,31,1
user_00007,maldonadoamanda@example.com,Daniel,Moore,63.0,0,USA,Maryland,Teresaburgh,premium,2025-03-13,True,27.74,Desktop,1.0,2025-02-10 07:18:23.258712,662.2,60.2,12,12,37.79,0.023483365949119372,2.0,2.0,10.65,3.0,0.7026666666666667,10.0,2025-12-30,1,0
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721,388.0,64.66666666666667,7,7,47.25,0.011437908496732025,2.0,2.0,39.1,0.0,0.0,0.0,2025-11-23,38,1
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799,498.7,62.3375,8,8,55.7,0.012903225806451613,3.0,3.0,15.699999999999998,2.0,0.5015000000000001,7.0,2025-11-18,43,1
user_00011,kristenaguirre@example.org,Collin,Gomez,67.0,Female,USA,Ohio,Shieldston,basic,2022-10-07,True,556.13,Desktop,2.0,2024-12-27 07:05:50.526519,726.4,55.87692307692308,13,13,35.925,0.01908957415565345,0.0,0.0,0.0,1.0,0.829,5.0,2025-12-06,25,0
user_00012,jamesherrera@example.org,Isaiah,Wright,41.0,Female,USA,Missouri,Mortonside,premium,2022-09-26,True,29.23,Tablet,2.0,2025-06-29 19:39:28.228369,597.5,45.96153846153846,15,15,44.63333333333333,0.025996533795493933,5.0,5.0,21.119999999999997,0.0,0.0,0.0,2025-10-01,91,1
user_00013,richardolson@example.com,Franklin,Galloway,32.0,Female,USA,Ohio,Mitchellside,basic,2023-01-18,True,18.68,Gaming Console,3.0,2023-03-29 14:38:00.334657,772.3,77.22999999999999,11,11,45.95,0.01757188498402556,5.0,5.0,25.56,2.0,0.601,7.0,2025-12-08,23,0
user_00014,adkinsbrian@example.net,Wesley,Brown,22.0,Male,USA,Pennsylvania,North Brooke,basic,2023-10-18,True,25.19,Laptop,2.0,2024-04-28 09:41:18.589372,767.6,69.78181818181818,12,12,60.050000000000004,0.018518518518518517,4.0,4.0,25.475,2.0,0.5265,5.0,2025-11-17,44,1
user_00015,barnesbrandy@example.net,Sarah,Santiago,45.0,Female,Canada,Alberta,West Randy,basic,2023-12-16,False,5.14,Mobile,3.0,2022-08-13 06:39:47.240847,530.2,58.91111111111112,9,9,46.8625,0.023076923076923078,2.0,2.0,16.9,1.0,0.0,1.0,2025-08-18,135,1
user_00016,medinawilliam@example.org,Nicole,Wood,50.0,Female,USA,Pennsylvania,Bassport,standard,2024-08-02,True,3.36,Laptop,1.0,2025-05-20 00:20:29.058670,270.7,45.11666666666667,8,8,53.9,0.01609657947686117,3.0,2.0,22.166666666666668,2.0,0.3445,6.0,2025-09-20,102,1
user_00017,josephpreston@example.net,Joseph,Robbins,25.0,Female,USA,Indiana,Williamview,premium,2022-11-11,True,0.0,Smart TV,1.0,2025-01-27 19:17:27.125271,425.5,53.1875,9,9,41.55,0.015254237288135594,1.0,1.0,31.9,2.0,0.728,10.0,2025-12-10,21,0
