user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at
user_00001,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,basic,2024-04-08,True,36.06,Laptop,1.0,2023-04-01 14:40:50.540242
user_00002,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,premium+,2024-05-24,True,14.59,Desktop,2.0,2024-10-10 15:39:11.030515
user_00003,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,standard,2023-09-22,False,11.71,Desktop,3.0,2024-06-29 14:27:49.560875
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,standard,2024-05-16,True,,Gaming Console,2.0,2024-03-04 19:57:36.106319
user_00007,maldonadoamanda@example.com,Daniel,Moore,63.0,,USA,Maryland,Teresaburgh,premium,2025-03-13,True,27.74,Desktop,1.0,2025-02-10 07:18:23.258712
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799
user_00011,kristenaguirre@example.org,Collin,Gomez,67.0,Female,USA,Ohio,Shieldston,basic,2022-10-07,True,556.13,Desktop,2.0,2024-12-27 07:05:50.526519
user_00012,jamesherrera@example.org,Isaiah,Wright,41.0,Female,USA,Missouri,Mortonside,premium,2022-09-26,True,29.23,Tablet,2.0,2025-06-29 19:39:28.228369
user_00013,richardolson@example.com,Franklin,Galloway,32.0,Female,USA,Ohio,Mitchellside,basic,2023-01-18,True,18.68,Gaming Console,3.0,2023-03-29 14:38:00.334657
user_00014,adkinsbrian@example.net,Wesley,Brown,22.0,Male,USA,Pennsylvania,North Brooke,basic,2023-10-18,True,25.19,Laptop,2.0,2024-04-28 09:41:18.589372
user_00015,barnesbrandy@example.net,Sarah,Santiago,45.0,Female,Canada,Alberta,West Randy,basic,2023-12-16,False,5.14,Mobile,3.0,2022-08-13 06:39:47.240847
user_00016,medinawilliam@example.org,Nicole,Wood,50.0,Female,USA,Pennsylvania,Bassport,standard,2024-08-02,True,3.36,Laptop,1.0,2025-05-20 00:20:29.058670
